,Cidade,Estado,Forma,Data,Hora,Dias_da_Semana,Dia,Mês
0,Wasilla,AK,Triangle,11/17/97,03:00,Segunda-feira,17,11
1,Alaska (remote),AK,Disk,1/15/98,13:00,Quinta-feira,15,1
2,Fairbanks,AK,Oval,1/8/98,22:38,Quinta-feira,8,1
3,Anchorage,AK,Oval,3/15/98,20:30,Domingo,15,3
4,North Pole,AK,Sphere,3/15/98,20:00,Domingo,15,3
5,North Pole,AK,Sphere,9/24/98,22:35,Quinta-feira,24,9
6,Big Lake,AK,Light,9/22/98,03:00,Terça-feira,22,9
7,Auke Bay,AK,Light,9/15/98,23:30,Terça-feira,15,9
8,Auke Bay,AK,Light,9/15/98,23:00,Terça-feira,15,9
9,Juneau,AK,Triangle,9/2/98,23:00,Quarta-feira,2,9
10,Anchorage,AK,Circle,10/31/98,10:00,Sábado,31,10
11,Kodiak,AK,Light,11/18/98,18:00,Quarta-feira,18,11
12,Eagle River,AK,Oval,12/26/98,12:30,Sábado,26,12
13,Fairbanks,AK,Formation,12/15/98,20:00,Terça-feira,15,12
14,Anchorage/Girdwood,AK,Light,12/7/98,18:00,Segunda-feira,7,12
15,Palmer,AK,Flash,1/8/99,22:45,Sexta-feira,8,1
16,Copper Center,AK,Flash,1/8/99,22:45,Sexta-feira,8,1
17,Wasilla,AK,Flash,1/8/99,22:45,Sexta-feira,8,1
18,Fairbanks (20 miles south of),AK,Triangle,2/21/99,22:30,Domingo,21,2
19,North Pole,AK,Fireball,2/12/99,01:30,Sexta-feira,12,2
20,North Pole,AK,Sphere,2/10/99,20:40,Quarta-feira,10,2
21,Fairbanks,AK,Sphere,3/4/99,21:00,Quinta-feira,4,3
22,Anchorage,AK,Disk,5/6/99,13:30,Quinta-feira,6,5
23,Trapper Creek (10 miles north of),AK,Oval,8/16/99,02:45,Segunda-feira,16,8
24,Turnagain Pass,AK,Flash,8/14/99,04:00,Sábado,14,8
25,Ketchikan,AK,Circle,8/11/99,23:07,Quarta-feira,11,8
26,Seward,AK,Light,9/2/99,21:00,Quinta-feira,2,9
27,Seward,AK,Light,9/2/99,21:00,Quinta-feira,2,9
28,Alaska,AK,Light,9/1/99,23:00,Quarta-feira,1,9
29,Nenana,AK,Light,9/1/99,22:00,Quarta-feira,1,9
30,Seward,AK,Circle,11/27/99,11:00,Sábado,27,11
31,Fairbanks,AK,Light,2/15/00,22:15,Terça-feira,15,2
32,Eagle River (far east of),AK,Light,4/24/00,23:15,Segunda-feira,24,4
33,Fairbanks,AK,Oval,4/2/00,18:00,Domingo,2,4
34,Ketchikan (area),AK,Oval,5/25/00,21:00,Quinta-feira,25,5
35,Anchorage,AK,Light,10/26/00,23:30,Quinta-feira,26,10
36,Anchorage,AK,Changing,12/31/00,21:00,Domingo,31,12
37,North Pole,AK,Sphere,12/15/00,16:36,Sexta-feira,15,12
38,Savoonga,AK,Disk,12/15/00,10:00,Sexta-feira,15,12
39,North Pole,AK,Disk,1/24/01,,Quarta-feira,24,1
40,Wrangell,AK,Light,2/4/01,08:05,Domingo,4,2
41,Wrangell,AK,Light,2/3/01,20:15,Sábado,3,2
42,Palmer,AK,Light,3/30/01,22:00,Sexta-feira,30,3
43,Seward,AK,Triangle,4/18/01,01:00,Quarta-feira,18,4
44,Talkeetna (Matsue area),AK,Triangle,4/9/01,05:22,Segunda-feira,9,4
45,Soldatna,AK,Disk,6/21/01,02:15,Quinta-feira,21,6
46,"Misty Fjords National Park (near, on island)",AK,Rectangle,7/7/01,17:30,Sábado,7,7
47,Fairbanks,AK,Circle,8/27/01,05:30,Segunda-feira,27,8
48,Petersburg,AK,Triangle,8/12/01,22:53,Domingo,12,8
49,Nenana,AK,Fireball,9/15/01,23:55,Sábado,15,9
50,Newhalen,AK,Light,11/4/01,22:30,Domingo,4,11
51,Cordova,AK,Sphere,12/15/01,00:00,Sábado,15,12
52,Turnagain Pass,AK,Sphere,12/1/01,01:00,Sábado,1,12
53,Wainwright,AK,Light,1/2/02,21:32,Quarta-feira,2,1
54,Fairbanks,AK,Fireball,2/6/02,00:30,Quarta-feira,6,2
55,Talkeetna,AK,Light,2/4/02,02:55,Segunda-feira,4,2
56,Anchorage,AK,Triangle,3/9/02,08:30,Sábado,9,3
57,Inside Passage,AK,Oval,5/15/02,03:00,Quarta-feira,15,5
58,Kotzebue,AK,Disk,10/18/02,05:30,Sexta-feira,18,10
59,Anchorage,AK,Circle,1/24/03,08:30,Sexta-feira,24,1
60,Anchorage,AK,Light,2/27/03,21:10,Quinta-feira,27,2
61,Yakutat,AK,Changing,2/13/03,14:00,Quinta-feira,13,2
62,Iliamna,AK,Cylinder,3/29/03,22:30,Sábado,29,3
63,Anchorage,AK,Light,4/19/03,00:30,Sábado,19,4
64,Council,AK,Oval,6/25/03,00:00,Quarta-feira,25,6
65,Rural Alaska community,AK,Diamond,6/15/03,13:00,Domingo,15,6
66,Fairbanks,AK,Circle,8/7/03,01:30,Quinta-feira,7,8
67,Kenai,AK,Flash,9/10/03,23:30,Quarta-feira,10,9
68,Anchorage,AK,Light,9/8/03,23:30,Segunda-feira,8,9
69,Fairbanks,AK,Disk,11/24/03,18:32,Segunda-feira,24,11
70,Anchorage,AK,Sphere,12/25/03,00:00,Quinta-feira,25,12
71,Ketchikan,AK,Light,1/30/04,20:00,Sexta-feira,30,1
72,St. George Island,AK,Light,1/11/04,19:10,Domingo,11,1
73,Kenai,AK,Light,1/1/04,00:00,Quinta-feira,1,1
74,Fairbanks,AK,Light,3/11/04,21:30,Quinta-feira,11,3
75,Anchorage,AK,Sphere,5/28/04,08:35,Sexta-feira,28,5
76,College Fjord,AK,Changing,8/17/04,03:30,Terça-feira,17,8
77,Anchorage,AK,Circle,8/16/04,12:08,Segunda-feira,16,8
78,Wrangell,AK,Circle,8/2/04,,Segunda-feira,2,8
79,Fairbanks,AK,Oval,9/12/04,03:00,Domingo,12,9
80,Anchorage,AK,Light,12/30/04,20:00,Quinta-feira,30,12
81,Anchorage,AK,Light,1/25/05,21:50,Terça-feira,25,1
82,Ester,AK,Flash,2/26/05,05:40,Sábado,26,2
83,Fairbanks,AK,Light,3/4/05,20:45,Sexta-feira,4,3
84,Juneau,AK,Disk,4/23/05,18:30,Sábado,23,4
85,Anchorage,AK,Oval,4/18/05,00:00,Segunda-feira,18,4
86,Fairbanks,AK,Circle,4/11/05,,Segunda-feira,11,4
87,Wasilla,AK,Light,4/9/05,22:50,Sábado,9,4
88,Anchor Point,AK,Disk,5/24/05,18:30,Terça-feira,24,5
89,Nikiski,AK,Triangle,6/16/05,19:00,Quinta-feira,16,6
90,Rio de Janeiro (Brazil),AK,Oval,6/12/05,14:00,Domingo,12,6
91,Susitna Lodge (10 miles E of; Denali Highway),AK,Rectangle,7/7/05,18:45,Quinta-feira,7,7
92,Tracy Arm (near; on cruise ship),AK,Light,9/2/05,02:30,Sexta-feira,2,9
93,Fairbanks,AK,Light,10/15/05,23:00,Sábado,15,10
94,Anchorage,AK,Light,12/25/05,23:30,Domingo,25,12
95,Wasilla,AK,Triangle,12/15/05,01:30,Quinta-feira,15,12
96,Fairbanks,AK,Sphere,2/6/06,12:00,Segunda-feira,6,2
97,White Mountain,AK,Sphere,3/21/06,,Terça-feira,21,3
98,North Pole,AK,Oval,6/15/06,01:43,Quinta-feira,15,6
99,Anchorage,AK,Disk,9/30/06,14:30,Sábado,30,9
100,Anchorage,AK,Disk,9/30/06,14:00,Sábado,30,9
101,Anchorage,AK,Changing,10/23/06,21:03,Segunda-feira,23,10
102,Anchorage,AK,Circle,10/23/06,21:00,Segunda-feira,23,10
103,Knik,AK,Triangle,10/10/06,23:55,Terça-feira,10,10
104,Anchorage,AK,Disk,10/8/06,14:02,Domingo,8,10
105,Anchorage,AK,Light,11/28/06,17:20,Terça-feira,28,11
106,Anchorage,AK,Light,11/14/06,23:25,Terça-feira,14,11
107,Fairbanks,AK,Fireball,12/31/06,21:47,Domingo,31,12
108,Wasilla,AK,Oval,12/15/06,12:00,Sexta-feira,15,12
109,Anchorage,AK,Disk,1/27/07,23:07,Sábado,27,1
110,Slana,AK,Light,2/18/07,20:15,Domingo,18,2
111,Eagle River,AK,Circle,3/4/07,19:45,Domingo,4,3
112,Homer,AK,Fireball,4/24/07,03:00,Terça-feira,24,4
113,North Pole,AK,Formation,6/30/07,22:09,Sábado,30,6
114,Kenai Peninsula,AK,Triangle,9/15/07,02:30,Sábado,15,9
115,Willow,AK,Circle,10/6/07,22:00,Sábado,6,10
116,Anchorage,AK,Triangle,11/5/07,20:30,Segunda-feira,5,11
117,Nunapitchuk,AK,Fireball,1/1/08,00:08,Terça-feira,1,1
118,Anchorage,AK,Light,2/6/08,19:00,Quarta-feira,6,2
119,Eagle River,AK,Light,3/31/08,00:00,Segunda-feira,31,3
120,Anchorage,AK,Disk,3/29/08,11:00,Sábado,29,3
121,Anchorage,AK,Disk,3/29/08,11:00,Sábado,29,3
122,Alaska,AK,Cigar,4/29/08,,Terça-feira,29,4
123,Kenai,AK,Disk,8/1/08,02:00,Sexta-feira,1,8
124,Kodiak,AK,Light,10/3/08,20:00,Sexta-feira,3,10
125,Juneau,AK,Light,10/1/08,23:00,Quarta-feira,1,10
126,Fort Greely,AK,Triangle,11/20/08,01:00,Quinta-feira,20,11
127,Fairbanks,AK,Oval,1/24/09,18:00,Sábado,24,1
128,Wasilla,AK,Triangle,1/20/09,19:15,Terça-feira,20,1
129,Venetie,AK,Circle,1/2/09,21:00,Sexta-feira,2,1
130,Fairbanks,AK,Light,2/20/09,22:00,Sexta-feira,20,2
131,Fairbanks,AK,Light,3/31/09,23:00,Terça-feira,31,3
132,Anchorage,AK,Disk,5/25/09,20:00,Segunda-feira,25,5
133,Juneau,AK,Triangle,6/27/09,02:30,Sábado,27,6
134,North of Pt. Barrow,AK,Disk,7/29/09,13:00,Quarta-feira,29,7
135,Anchorage,AK,Formation,8/28/09,23:00,Sexta-feira,28,8
136,Homer,AK,Oval,8/8/09,23:40,Sábado,8,8
137,Healy,AK,Light,9/3/09,22:30,Quinta-feira,3,9
138,Bethel,AK,Disk,12/26/09,17:30,Sábado,26,12
139,Delta Junction,AK,Triangle,12/17/09,20:00,Quinta-feira,17,12
140,Fort Greely,AK,Triangle,12/2/09,21:20,Quarta-feira,2,12
141,Kaktovik,AK,Light,12/1/09,16:00,Terça-feira,1,12
142,Metlakatla,AK,Disk,1/12/10,21:30,Terça-feira,12,1
143,Willow,AK,Sphere,1/1/10,12:01,Sexta-feira,1,1
144,Anchorage,AK,Light,1/1/10,00:20,Sexta-feira,1,1
145,Willow,AK,Formation,1/1/10,00:01,Sexta-feira,1,1
146,Palmer,AK,Sphere,5/21/10,00:26,Sexta-feira,21,5
147,Craig (Coffman Cove Road),AK,Circle,8/27/10,,Sexta-feira,27,8
148,North Kenai (Daniels Lake; east end),AK,Light,8/7/10,00:30,Sábado,7,8
149,Anchorage,AK,Circle,8/6/10,18:00,Sexta-feira,6,8
150,Anchorage,AK,Triangle,10/8/10,01:30,Sexta-feira,8,10
151,Juneau,AK,Fireball,11/19/10,16:10,Sexta-feira,19,11
152,Wasilla,AK,Sphere,12/31/10,21:00,Sexta-feira,31,12
153,Anchorage,AK,Light,12/31/10,20:10,Sexta-feira,31,12
154,Anchorage,AK,Circle,12/16/10,12:00,Quinta-feira,16,12
155,Juneau,AK,Light,1/8/11,17:20,Sábado,8,1
156,North Pole,AK,Triangle,1/5/11,20:00,Quarta-feira,5,1
157,Savoonga,AK,Light,1/3/11,22:30,Segunda-feira,3,1
158,Seward,AK,Light,3/26/11,21:00,Sábado,26,3
159,Ninilchik,AK,Light,3/7/11,21:00,Segunda-feira,7,3
160,Wasilla,AK,Circle,4/4/11,04:00,Segunda-feira,4,4
161,Alaska cruise (Norwegian Star),AK,Light,5/11/11,21:00,Quarta-feira,11,5
162,Wasilla,AK,Triangle,9/11/11,09:00,Domingo,11,9
163,Wasilla,AK,Sphere,10/23/11,20:45,Domingo,23,10
164,Wasilla,AK,Sphere,10/23/11,20:45,Domingo,23,10
165,Anchorage,AK,Circle,10/21/11,21:00,Sexta-feira,21,10
166,Anchorage,AK,Circle,11/23/11,11:00,Quarta-feira,23,11
167,Fairbanks,AK,Circle,11/11/11,20:10,Sexta-feira,11,11
168,North Pole,AK,Triangle,12/30/11,04:47,Sexta-feira,30,12
169,Fairbanks,AK,Sphere,12/24/11,02:00,Sábado,24,12
170,Anchorage,AK,Light,12/4/11,21:17,Domingo,4,12
171,Anchorage,AK,Sphere,1/23/12,19:30,Segunda-feira,23,1
172,Anchorage,AK,Sphere,1/1/12,19:30,Domingo,1,1
173,Anchorage,AK,Light,1/1/12,00:01,Domingo,1,1
174,Metlakatla,AK,Disk,2/12/12,04:30,Domingo,12,2
175,Fairbanks,AK,Light,2/11/12,19:10,Sábado,11,2
176,Haines,AK,Diamond,2/10/12,18:00,Sexta-feira,10,2
177,Palmer,AK,Sphere,3/12/12,21:45,Segunda-feira,12,3
178,Bethel,AK,Light,3/3/12,22:15,Sábado,3,3
179,Anchorage,AK,Light,3/2/12,19:30,Sexta-feira,2,3
180,Eagle River,AK,Fireball,4/28/12,01:00,Sábado,28,4
181,Juneau,AK,Light,4/23/12,,Segunda-feira,23,4
182,Bethel,AK,Circle,4/6/12,22:50,Sexta-feira,6,4
183,Anchorage,AK,Triangle,5/19/12,20:30,Sábado,19,5
184,Homer,AK,Light,7/18/12,01:00,Quarta-feira,18,7
185,Anchorage,AK,Light,8/28/12,09:00,Terça-feira,28,8
186,,AK,Oval,8/24/12,12:00,Sexta-feira,24,8
187,Anchorage,AK,Light,9/29/12,21:20,Sábado,29,9
188,Savoonga,AK,Light,9/23/12,06:00,Domingo,23,9
189,Wasilla,AK,Sphere,9/8/12,19:00,Sábado,8,9
190,Willow,AK,Fireball,9/7/12,23:00,Sexta-feira,7,9
191,Anchorage,AK,Light,10/31/12,20:36,Quarta-feira,31,10
192,Anchorage,AK,Triangle,10/27/12,06:00,Sábado,27,10
193,Eagle River,AK,Light,10/26/12,23:10,Sexta-feira,26,10
194,Tanacross,AK,Light,10/26/12,00:00,Sexta-feira,26,10
195,North Pole,AK,Light,10/25/12,23:00,Quinta-feira,25,10
196,Anchorage,AK,Cylinder,10/21/12,18:30,Domingo,21,10
197,Anchorage,AK,Light,10/20/12,23:00,Sábado,20,10
198,Fairbanks,AK,Light,10/18/12,21:30,Quinta-feira,18,10
199,Anchorage,AK,Fireball,10/12/12,21:05,Sexta-feira,12,10
200,Anchorage,AK,Formation,10/2/12,21:30,Terça-feira,2,10
201,Anchorage,AK,Light,11/25/12,19:50,Domingo,25,11
202,Fairbanks,AK,Light,11/22/12,19:05,Quinta-feira,22,11
203,Anchorage,AK,Disk,11/14/12,21:00,Quarta-feira,14,11
204,Ketchikan,AK,Light,11/9/12,22:00,Sexta-feira,9,11
205,Ketchikan,AK,Light,11/8/12,16:30,Quinta-feira,8,11
206,Wasilla - Susitna Delta,AK,Light,11/7/12,19:45,Quarta-feira,7,11
207,Anchorage,AK,Light,11/4/12,19:15,Domingo,4,11
208,Soldotna,AK,Flash,11/2/12,22:30,Sexta-feira,2,11
209,Homer,AK,Flash,11/2/12,22:00,Sexta-feira,2,11
210,Eagle River,AK,Oval,12/28/12,19:30,Sexta-feira,28,12
211,Fairbanks,AK,Triangle,12/26/12,07:40,Quarta-feira,26,12
212,Fairbanks,AK,Oval,12/25/12,16:30,Terça-feira,25,12
213,Homer,AK,Fireball,12/19/12,19:00,Quarta-feira,19,12
214,Wasilla,AK,Fireball,12/14/12,08:20,Sexta-feira,14,12
215,Fairbanks,AK,Fireball,1/19/13,21:00,Sábado,19,1
216,Delta Junction,AK,Triangle,1/1/13,01:00,Terça-feira,1,1
217,Palmer,AK,Light,2/23/13,21:30,Sábado,23,2
218,Wasilla,AK,Circle,3/16/13,23:30,Sábado,16,3
219,Wasilla,AK,Triangle,3/16/13,23:20,Sábado,16,3
220,North Pole,AK,Light,3/16/13,05:10,Sábado,16,3
221,Bethel,AK,Circle,3/3/13,18:30,Domingo,3,3
222,Palmer,AK,Circle,3/1/13,21:00,Sexta-feira,1,3
223,Angoon,AK,Sphere,6/5/13,01:20,Quarta-feira,5,6
224,Kodiak,AK,Triangle,7/25/13,01:15,Quinta-feira,25,7
225,Palmer,AK,Circle,8/30/13,04:00,Sexta-feira,30,8
226,Fairbanks,AK,Diamond,8/7/13,21:30,Quarta-feira,7,8
227,Fairbanks,AK,Light,9/29/13,21:30,Domingo,29,9
228,North Pole,AK,Light,9/28/13,21:10,Sábado,28,9
229,Fairbanks,AK,Circle,9/24/13,20:35,Terça-feira,24,9
230,Anchorage,AK,Oval,9/21/13,21:20,Sábado,21,9
231,Eagle River,AK,Formation,9/13/13,22:00,Sexta-feira,13,9
232,Fairbanks,AK,Disk,9/5/13,22:00,Quinta-feira,5,9
233,Fairbanks,AK,Diamond,10/31/13,20:30,Quinta-feira,31,10
234,Anchorage,AK,Circle,10/23/13,20:00,Quarta-feira,23,10
235,Anchorage,AK,Light,10/23/13,18:00,Quarta-feira,23,10
236,Fairbanks,AK,Fireball,10/4/13,21:55,Sexta-feira,4,10
237,Fairbanks,AK,Circle,10/4/13,20:00,Sexta-feira,4,10
238,Kuparuk,AK,Light,11/20/13,18:00,Quarta-feira,20,11
239,Palmer,AK,Cylinder,11/18/13,21:00,Segunda-feira,18,11
240,Palmer,AK,Fireball,11/10/13,19:30,Domingo,10,11
241,Kuparuk Oilfield,AK,Light,11/9/13,17:30,Sábado,9,11
242,Kuparuk Oilfield,AK,Light,11/9/13,17:30,Sábado,9,11
243,Wasilla,AK,Disk,11/5/13,18:05,Terça-feira,5,11
244,Wasilla,AK,Disk,11/2/13,20:23,Sábado,2,11
245,Fairbanks,AK,Light,12/31/13,23:00,Terça-feira,31,12
246,Fairbanks,AK,Light,12/31/13,01:00,Terça-feira,31,12
247,Anchorage,AK,Circle,12/23/13,22:22,Segunda-feira,23,12
248,Anchorage,AK,Light,12/23/13,22:11,Segunda-feira,23,12
249,Wasilla,AK,Fireball,12/23/13,21:15,Segunda-feira,23,12
250,Anchorage,AK,Fireball,12/23/13,16:00,Segunda-feira,23,12
251,Soldotna,AK,Light,12/22/13,18:00,Domingo,22,12
252,Anchorage,AK,Circle,12/19/13,16:00,Quinta-feira,19,12
253,Anchorage,AK,Flash,12/14/13,18:50,Sábado,14,12
254,North Pole,AK,Flash,12/12/13,22:30,Quinta-feira,12,12
255,Anchorage,AK,Fireball,12/11/13,08:25,Quarta-feira,11,12
256,Anchorage,AK,Light,12/10/13,23:50,Terça-feira,10,12
257,North Pole,AK,Flash,12/9/13,21:00,Segunda-feira,9,12
258,Ketchikan,AK,Light,12/5/13,17:04,Quinta-feira,5,12
259,Anchorage,AK,Cylinder,1/31/14,22:00,Sexta-feira,31,1
260,Anchorage,AK,Oval,1/2/14,11:45,Quinta-feira,2,1
261,Anchorage,AK,Light,2/23/14,19:45,Domingo,23,2
262,Palmer,AK,Light,2/21/14,23:30,Sexta-feira,21,2
263,Anchorage,AK,Oval,2/21/14,00:00,Sexta-feira,21,2
264,Anchorage,AK,Flash,2/19/14,03:00,Quarta-feira,19,2
265,Wasilla,AK,Triangle,3/31/14,02:30,Segunda-feira,31,3
266,Anchorage,AK,Cigar,3/29/14,20:45,Sábado,29,3
267,Chugiak,AK,Light,3/28/14,11:30,Sexta-feira,28,3
268,Wasilla,AK,Changing,3/28/14,11:17,Sexta-feira,28,3
269,Bethel,AK,Triangle,3/28/14,11:03,Sexta-feira,28,3
270,Nikiski,AK,Light,3/25/14,22:00,Terça-feira,25,3
271,Clam Gulch,AK,Sphere,3/25/14,22:00,Terça-feira,25,3
272,Ninilchik,AK,Circle,3/12/14,23:30,Quarta-feira,12,3
273,Ward Cove,AK,Diamond,3/3/14,19:02,Segunda-feira,3,3
274,Butte,AK,Light,3/2/14,01:00,Domingo,2,3
275,Anchorage,AK,Light,3/1/14,00:00,Sábado,1,3
276,Anchorage,AK,Flash,4/19/14,22:15,Sábado,19,4
277,Kodiak,AK,Sphere,4/19/14,00:04,Sábado,19,4
278,Wasilla,AK,Triangle,4/14/14,22:45,Segunda-feira,14,4
279,Ketchikan,AK,Fireball,4/11/14,21:30,Sexta-feira,11,4
280,Kenai,AK,Light,4/9/14,11:30,Quarta-feira,9,4
281,Kenai,AK,Oval,4/2/14,11:00,Quarta-feira,2,4
282,Anchorage,AK,Changing,5/13/14,02:00,Terça-feira,13,5
283,Irving,AK,Circle,5/10/14,21:00,Sábado,10,5
284,Anchorage,AK,Rectangle,6/3/14,14:00,Terça-feira,3,6
285,Palmer,AK,Light,8/31/14,02:00,Domingo,31,8
286,Ketchikan,AK,Oval,8/7/14,17:30,Quinta-feira,7,8
287,Wasilla,AK,Light,8/5/14,00:36,Terça-feira,5,8
288,Denali State Park,AK,Rectangle,9/25/14,11:00,Quinta-feira,25,9
289,Anchorage,AK,Circle,9/20/14,22:15,Sábado,20,9
290,Fairbanks,AK,Triangle,9/14/14,22:30,Domingo,14,9
291,Eagle River,AK,Light,9/13/14,09:43,Sábado,13,9
292,Wasilla,AK,Circle,10/22/14,20:30,Quarta-feira,22,10
293,Eagle River,AK,Fireball,11/18/14,20:30,Terça-feira,18,11
294,North Pole,AK,Fireball,12/30/14,23:00,Terça-feira,30,12
295,Anchorage,AK,Disk,12/26/14,20:40,Sexta-feira,26,12
296,Fairbanks,AK,Triangle,12/24/14,17:30,Quarta-feira,24,12
297,North Pole,AK,Triangle,12/6/14,01:00,Sábado,6,12
298,Palmer,AK,Sphere,1/31/15,08:05,Sábado,31,1
299,Wasilla,AK,Triangle,1/8/15,21:30,Quinta-feira,8,1
300,Sitka,AK,Disk,3/25/15,09:00,Quarta-feira,25,3
301,Eagle River,AK,Fireball,3/24/15,07:05,Terça-feira,24,3
302,Wasilla,AK,Diamond,3/23/15,21:56,Segunda-feira,23,3
303,Fairbanks,AK,Light,3/22/15,22:00,Domingo,22,3
304,Wasilla,AK,Light,3/20/15,23:00,Sexta-feira,20,3
305,Ketchikan,AK,Circle,3/16/15,21:00,Segunda-feira,16,3
306,Chugiak,AK,Light,3/13/15,21:00,Sexta-feira,13,3
307,Fairbanks,AK,Disk,3/8/15,21:00,Domingo,8,3
308,Fairbanks,AK,Disk,3/8/15,21:00,Domingo,8,3
309,Ninilchik,AK,Disk,3/7/15,09:52,Sábado,7,3
310,Anchorage,AK,Fireball,3/4/15,21:00,Quarta-feira,4,3
311,Juneau,AK,Flash,4/3/15,22:00,Sexta-feira,3,4
312,Anchorage,AK,Oval,5/2/15,,Sábado,2,5
313,Anchorage,AK,Disk,6/13/15,14:25,Sábado,13,6
314,Sitka,AK,Oval,7/4/15,23:15,Sábado,4,7
315,Anchorage,AK,Oval,8/30/15,05:50,Domingo,30,8
316,Butte,AK,Light,8/22/15,22:50,Sábado,22,8
317,Anchorage,AK,Rectangle,8/22/15,15:00,Sábado,22,8
318,Juneau,AK,Circle,8/20/15,22:48,Quinta-feira,20,8
319,Palmer,AK,Light,8/11/15,23:45,Terça-feira,11,8
320,Wasilla,AK,Light,8/4/15,12:20,Terça-feira,4,8
321,Fairbanks,AK,Disk,9/22/15,11:30,Terça-feira,22,9
322,Anchorage,AK,Light,9/20/15,,Domingo,20,9
323,Wasilla,AK,Circle,11/15/15,21:00,Domingo,15,11
324,Eagle River,AK,Chevron,11/3/15,18:00,Terça-feira,3,11
325,Fairbanks,AK,Circle,12/31/15,23:55,Quinta-feira,31,12
326,Big Lake,AK,Circle,1/31/16,20:30,Domingo,31,1
327,Anchorage,AK,Light,1/18/16,20:45,Segunda-feira,18,1
328,Anchorage,AK,Circle,1/1/16,00:00,Sexta-feira,1,1
329,Anchorage,AK,Circle,2/18/16,20:45,Quinta-feira,18,2
330,Kasilof,AK,Light,2/16/16,06:45,Terça-feira,16,2
331,Palmer,AK,Light,2/13/16,09:38,Sábado,13,2
332,Palmer,AK,Light,2/10/16,16:00,Quarta-feira,10,2
333,Eagle River,AK,Cigar,2/8/16,20:15,Segunda-feira,8,2
334,Anchorage,AK,Circle,2/6/16,19:41,Sábado,6,2
335,Pelican,AK,Sphere,3/26/16,23:30,Sábado,26,3
336,Fairbanks,AK,Sphere,3/25/16,17:30,Sexta-feira,25,3
337,Fairbanks,AK,Triangle,3/23/16,21:00,Quarta-feira,23,3
338,Anchorage,AK,Light,3/14/16,00:15,Segunda-feira,14,3
339,Kotzebue,AK,Light,3/12/16,03:00,Sábado,12,3
340,Dillingham,AK,Triangle,3/11/16,07:00,Sexta-feira,11,3
341,Wasilla,AK,Circle,4/2/16,03:55,Sábado,2,4
342,Anchorage,AK,Rectangle,5/29/16,18:08,Domingo,29,5
343,Fairbanks,AK,Sphere,5/13/16,03:00,Sexta-feira,13,5
344,Anchorage,AK,Flash,6/14/16,01:13,Terça-feira,14,6
345,Coffman Cove,AK,Changing,6/12/16,21:30,Domingo,12,6
346,Anchorage,AK,Light,6/5/16,02:12,Domingo,5,6
347,Big Lake,AK,Changing,7/15/16,22:30,Sexta-feira,15,7
348,Anchorage,AK,Sphere,8/30/16,23:08,Terça-feira,30,8
349,Juneau,AK,Formation,8/28/16,21:40,Domingo,28,8
350,Anchorage/Eagle River (between),AK,Triangle,8/11/16,01:20,Quinta-feira,11,8
351,Fairbanks,AK,Circle,9/18/16,14:34,Domingo,18,9
352,Anchorage,AK,Disk,9/12/16,01:00,Segunda-feira,12,9
353,Anchorage,AK,Light,9/10/16,21:00,Sábado,10,9
354,Fairbanks,AK,Triangle,10/25/16,19:45,Terça-feira,25,10
355,Anchor Point,AK,Flash,10/7/16,22:00,Sexta-feira,7,10
356,Anchor Point,AK,Fireball,11/29/16,06:00,Terça-feira,29,11
357,Anchorage,AK,Cigar,11/11/16,21:45,Sexta-feira,11,11
358,Fairbanks,AK,Light,11/5/16,18:20,Sábado,5,11
359,Anchorage,AK,Fireball,12/31/16,23:50,Sábado,31,12
360,Wasilla,AK,Oval,12/31/16,23:45,Sábado,31,12
361,Wasilla,AK,Circle,12/31/16,20:30,Sábado,31,12
362,Delta Junction,AK,Fireball,12/23/16,18:10,Sexta-feira,23,12
363,Anchorage,AK,Circle,12/19/16,10:30,Segunda-feira,19,12
364,Anchorage,AK,Flash,12/7/16,23:30,Quarta-feira,7,12
365,Wasilla,AK,Light,1/20/17,22:00,Sexta-feira,20,1
366,Anchorage,AK,Formation,1/1/17,00:10,Domingo,1,1
367,Wasilla,AK,Oval,2/26/17,22:51,Domingo,26,2
368,Sand Point,AK,Light,2/26/17,20:30,Domingo,26,2
369,Fairbanks,AK,Circle,2/17/17,20:07,Sexta-feira,17,2
370,Anchorage,AK,Diamond,3/14/17,23:30,Terça-feira,14,3
371,Anchorage,AK,Circle,3/5/17,20:29,Domingo,5,3
372,Fairbanks,AK,Sphere,3/3/17,21:38,Sexta-feira,3,3
373,Anchorage,AK,Fireball,3/3/17,08:15,Sexta-feira,3,3
374,Anchorage,AK,Cylinder,5/16/17,03:00,Terça-feira,16,5
375,Chugiak,AK,Rectangle,5/1/17,01:50,Segunda-feira,1,5
376,Anchorage,AK,Diamond,7/27/17,05:55,Quinta-feira,27,7
377,Palmer,AK,Rectangle,10/18/17,09:00,Quarta-feira,18,10
378,Palmer,AK,Rectangle,10/18/17,08:00,Quarta-feira,18,10
379,Valdez,AK,Flash,10/17/17,21:46,Terça-feira,17,10
380,Nikiski,AK,Formation,10/10/17,21:50,Terça-feira,10,10
381,Mobile,AL,Circle,2/18/98,21:30,Quarta-feira,18,2
382,Shelby County airport (@231 mile marker),AL,Cigar,2/12/98,12:35,Quinta-feira,12,2
383,Hunstville,AL,Changing,6/1/98,18:00,Segunda-feira,1,6
384,Athens,AL,Disk,7/22/98,17:43,Quarta-feira,22,7
